"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Map3k19",1469.14626884357,2.30148392850682,0.107901872431057,21.3294160393494,6.05591495121656e-101,1.40012753672127e-98
"Zranb3",1049.57231439504,-2.20307438548268,0.128591770281931,-17.1323124384442,8.51999129041329e-66,6.21545772389956e-64
"Gm28800",28.7321745917016,-1.53433223051877,0.515885861185259,-2.97416995882308,0.00293782304131541,0.0069406704393787
"Slc26a9",735.900780550671,3.32921815199174,0.399498422314962,8.3334951179532,7.84900907600432e-17,7.93240809644875e-16
"Adora1",554.582960078795,1.98392970698095,0.164422580640761,12.0660416546772,1.59629700888565e-33,3.69632533891119e-32
"Lgr6",1312.83927706614,-2.10076518068708,0.129570157449623,-16.213341266517,4.05888609149882e-59,2.40145433791513e-57
"Elf3",9766.81632236211,1.51568403895593,0.0740104918818669,20.4793131408344,3.29268511639077e-93,5.96174360591814e-91
"Rgs2",1366.41206694089,-1.529397027208,0.104521686360247,-14.6323416744037,1.74670321551337e-48,7.15244030592232e-47
"Apobec4",33.3093767483846,1.52509490585364,0.561276545991809,2.71718980018791,0.00658388396549498,0.0143770136927432
"Nmnat2",85.9647294406128,2.03612590768244,0.451902326166495,4.50567697881747,6.61616693680342e-06,2.49963100407382e-05
"Npl",108.105340845296,1.82620875591492,0.350766573438711,5.20633633362448,1.92605415027722e-07,8.75256781686303e-07
"Glul",20123.9627636158,-1.92142483715919,0.0766204692227712,-25.0771739803984,8.82569389445284e-139,5.10125107099374e-136
"Mr1",2381.42491798641,1.94168800422194,0.120067602585882,16.1716230057403,7.99637150611128e-59,4.67585490248406e-57
"Ankrd45",187.653970367522,2.39337392931555,0.303558388706463,7.88439396952364,3.16065646519817e-15,2.87868759751504e-14
"Fmo6",328.99755757705,-3.18344034419214,0.22630867118285,-14.0668067535955,6.07512422760559e-45,2.15832073031813e-43
"Fmo3",9858.89946948518,-1.9288357356701,0.0741365882926566,-26.0173253192601,3.15359963359131e-149,2.96201845585064e-146
"Ccdc181",3400.81862779336,1.54283759006595,0.107640503210016,14.3332439375143,1.35634115893397e-46,5.16027719910373e-45
"Gm32391",103.289842681797,1.72758579097045,0.381429724462637,4.5292374457819,5.91969439281326e-06,2.25275176842739e-05
"Gm26685",31.2934126990018,1.69873800839494,0.532612641567121,3.18944365157518,0.00142546926087589,0.00363145483174146
"Ildr2",18.8560473574452,1.91127283139385,0.66493094977035,2.87439294569453,0.00404804977500591,0.00927490349425046
"Fam78b",22.079975711082,-1.65435665756357,0.570665311238271,-2.89899635562887,0.00374359245534824,0.00864454631514649
"Ccdc190",47.9666143263219,2.98572909301538,0.464720081189678,6.42479034986383,1.32051384237294e-10,8.47701068909889e-10
"Gm10522",172.334304558779,2.5882137676309,0.266271573218404,9.72020308569691,2.47287791417143e-22,3.40315103426449e-21
"Cfap126",2958.27424177288,2.19908216918341,0.101258217499527,21.7175674576108,1.39998231712074e-104,3.89609893735009e-102
"Pcp4l1",70.1657712200691,2.06488444953763,0.395769911237916,5.21738614004016,1.81465702389511e-07,8.2845018156498e-07
"Klhdc9",111.341186580227,3.0270862743606,0.718941178831057,4.21047835830243,2.54830535376469e-05,8.84024304163797e-05
"Cfap45",2522.54297085214,1.66877667321399,0.0944796644557245,17.6628132924416,8.1095053472455e-70,6.84660934597784e-68
"Ifi203",25.5399683170507,2.27582216952275,0.574641214009689,3.96042280650683,7.48171760551221e-05,0.000238817443023869
"1700016C15Rik",197.39547498812,1.80895717948323,0.217274862789566,8.32566250995741,8.38584040423494e-17,8.46356008024464e-16
"Ccdc121rt1",248.268546866337,2.48614721544161,0.208007575273594,11.9521955494725,6.32323450848242e-33,1.4161783635391e-31
"Tlr5",329.724362798019,1.64624703754721,0.163148155753129,10.090503505527,6.08565551191822e-24,9.16385080492054e-23
"Spata17",338.074988082457,2.80849238837377,0.211546622047184,13.275997324823,3.18995500155864e-40,9.51163566734587e-39
"Kcnk2",353.089732025919,2.06924554890776,0.502746635576031,4.11588144500835,3.85702536285815e-05,0.000130050206760225
"Gm38037",201.779516689124,1.57600601697909,0.263944802182833,5.97096818708101,2.35849734182277e-09,1.33446905319701e-08
"Rd3",222.135301656481,1.55736842022837,0.301258017507141,5.16955011891576,2.34658198599674e-07,1.05329850912661e-06
"Cd34",123.626911500816,-1.56280909454795,0.298825435346147,-5.22983959761542,1.69657178202518e-07,7.77793799276216e-07
"Meig1",992.886860088773,1.94742274078224,0.118668414416866,16.4106240936296,1.60546648988669e-60,9.9287861769618e-59
"Dhtkd1",82.0081819993123,2.30692754253164,0.319529282219053,7.21976880025077,5.20760352293002e-13,4.00716158436212e-12
"Celf2",1821.99226619189,1.74860732763892,0.0780575300448102,22.4015200921052,3.80376379993552e-111,1.39421859476661e-108
"Gata3",38.8468688229509,-2.57807235542074,0.543560499122093,-4.74293544064477,2.10643414384631e-06,8.50268394137048e-06
"Pfkfb3",1134.04022958891,3.22833231764546,0.123908438904039,26.0541763434341,1.20645849275707e-149,1.20871054861022e-146
"Pip4k2a",182.823069748684,-1.69009830503727,0.238103688094392,-7.09816096744903,1.26427884538095e-12,9.48082958502238e-12
"Armc3",895.565977169834,2.22559243926915,0.144391599686645,15.4135866913247,1.32641010533689e-53,6.49292868501719e-52
"4921504E06Rik",50.0338832634995,2.14074658042396,0.464211653876375,4.61157440264106,3.99630565612631e-06,1.55667396060825e-05
"Enkur",1302.52882865225,1.91642890406214,0.125059249327453,15.3241676594763,5.27256094958498e-53,2.53150306550681e-51
"Noxa1",63.0668953888762,1.57004355075073,0.40154062577499,3.91004907092647,9.2277373156585e-05,0.000290522545015858
"Gm13387",18.5199399684633,1.8491269086545,0.638154293966172,2.89761727867105,0.00376009125638493,0.00867864404867957
"Grin1",352.943519769437,1.50543637074376,0.178599365018062,8.42912498928268,3.48259452898087e-17,3.60940900562238e-16
"Ajm1",34.9825290151983,1.77987467422235,0.608066246469994,2.92710651932262,0.0034213168038984,0.00796399456768666
"Ccdc187",3154.63561828139,2.29187080529796,0.099757246070954,22.974479504655,8.39000057557675e-117,3.6024265328505e-114
"Abo",34.7145907342769,-2.28336178649743,0.557502961849693,-4.09569444962526,4.20904769563788e-05,0.000140625986594144
"Stkld1",142.41909260499,1.66496033261974,0.256109638957666,6.5009670834566,7.98052944120067e-11,5.2121423921062e-10
"Slc2a6",63.3499877928119,-2.52170973279399,0.40036801330413,-6.29847952133587,3.0057942708391e-10,1.86503205211272e-09
"Gm13421",53.5344257247997,1.62346143809139,0.441415939421675,3.6778496042041,0.000235208570536892,0.000694442907274738
"Pierce1",1656.78053338054,1.84529148875374,0.225882838519403,8.1692416336234,3.10334035810271e-16,3.01467349072834e-15
"Spaca9",745.27341008204,2.20173847533093,0.147379229077187,14.9392725767198,1.82961527393998e-50,7.96969806862898e-49
"Ak8",1304.5009439,2.71496671319978,0.248634264016823,10.919519576015,9.29863513211063e-28,1.66953272121098e-26
"Barhl1",36.8107427694311,1.5971572019744,0.515521562315013,3.09813850424058,0.00194740391884364,0.00482272959039795
"Cfap77",1015.23861593415,1.90901375635629,0.13035933673447,14.6442426310037,1.46625989580593e-48,6.03697362032096e-47
"Ntng2",179.900470942042,-1.6360847275502,0.294909288983753,-5.5477558309136,2.89359584470886e-08,1.44756852044889e-07
"6530402F18Rik",141.833447773218,-1.93193131143432,0.263424871009346,-7.33389867111591,2.23552146093802e-13,1.76539235496461e-12
"Cercam",200.32186830151,2.01663625992056,0.228878229228097,8.81095710466549,1.24081844422885e-18,1.4105158532429e-17
"Gm14488",76.2605823128857,2.16103507334327,0.314160590577498,6.87875926566981,6.03760879472317e-12,4.31446433509747e-11
"1700001O22Rik",363.806852797538,2.42183175280438,0.172376633912221,14.0496521937981,7.74132900802142e-45,2.73090827071704e-43
"Ptges",13749.057300609,1.97467677810206,0.172418050371526,11.452842517631,2.27558896186685e-30,4.5536019865426e-29
"Lcn2",3778.47308676361,2.87450965352139,0.108046664230585,26.6043350249743,6.04771206389807e-156,7.57375140802168e-153
"Ttc16",1591.1299271317,2.09457673061597,0.264100260005037,7.93099079332985,2.17404337803719e-15,2.00193161060924e-14
"Cfap157",665.570023862437,2.0665014737397,0.152123143239216,13.5843989924012,4.95583209098893e-42,1.58797963034929e-40
"Angptl2",846.168812451093,2.28201816100354,0.123018467033924,18.5502080787126,8.12369167414655e-77,8.5973829914841e-75
"Morn5",507.755894279558,1.89551555300539,0.154309621978223,12.2838454835493,1.10612841660933e-34,2.64275005481797e-33
"Gm13496",25.556953791956,1.55869545074399,0.559808247514798,2.78433813303687,0.00536370855084497,0.0119681977879879
"Wdr38",365.160028769312,2.82593390098403,0.216380293370304,13.0600335962566,5.57031982602249e-39,1.57055846802e-37
"Ccdc148",445.501244217287,2.11760900315472,0.185475938665354,11.4171628858848,3.43257190568711e-30,6.81435807115797e-29
"Grb14",1008.33450011043,1.95377220197828,0.11321555037588,17.257101126936,9.89556192150029e-67,7.5106315432478e-65
"Slc38a11",142.117563229885,3.61190815548674,0.346262870008246,10.4311159767166,1.78776124569658e-25,2.92982290079915e-24
"Ccdc173",503.974395959899,1.57539308584865,0.145776646957784,10.8068961574131,3.19291072210884e-27,5.63843270644555e-26
"Gad1os",143.429044623711,2.1924988907547,0.257562645342319,8.51248785646192,1.70240597153963e-17,1.8105985095752e-16
"Erich2",1869.48842150716,2.05204964492326,0.130686671392516,15.7020576242236,1.46414962257458e-55,7.66663433033128e-54
"Cybrd1",3042.29747460723,5.86264500434998,0.655172105866627,8.9482518438345,3.61156301706488e-19,4.20733093181791e-18
"Wipf1",147.499179641534,3.41539421585006,0.285538481744064,11.9612396724564,5.67089337187336e-33,1.2757812214448e-31
"Chn1os3",32.832990397561,2.55721866485976,0.546821667213091,4.67651305386777,2.91794033412683e-06,1.1613031605206e-05
"Chn1",40.3394285867876,2.35236588828047,0.558339641298966,4.21314503625022,2.51839233879556e-05,8.74050809871126e-05
"Itga4",80.938516828601,2.08829875563095,0.407713551453669,5.12197533828663,3.02351442130992e-07,1.33994027494678e-06
"Zswim2",41.5731078925599,4.06458648085845,0.631620550804692,6.43517136305986,1.23334104700399e-10,7.93775128667062e-10
"Ypel4",204.892732824121,1.99658565841817,0.20741389534038,9.62609402394007,6.20431416277558e-22,8.4074331143545e-21
"Gm19426",40.2522649281196,1.8587714880614,0.458546100253811,4.05361966230341,5.04311847134287e-05,0.00016587433658862
"Serping1",131.572711956887,3.56088092538916,0.301546376982758,11.808733903617,3.51819126751477e-32,7.61835423173082e-31
"Agbl2",1007.15090421858,2.80525803272528,0.158681256807347,17.6785720580163,6.13298996351983e-70,5.20715102665401e-68
"F2",311.235626363898,1.98303220406167,0.182014038464586,10.8949409660371,1.21845557790616e-27,2.177283046941e-26
"4631405J19Rik",273.20282431794,3.93593327758945,0.227493075239502,17.3013322425122,4.5963587495735e-67,3.52418771880564e-65
"Gm13807",74.7706238053866,1.50923527878577,0.359272554232738,4.20080872030119,2.65963228598783e-05,9.19249171891102e-05
"Slc1a2",87.5590711023646,1.71284952865241,0.311569595666395,5.49748612340982,3.85243619376186e-08,1.90129428965035e-07
"Elf5",759.463870290999,2.0632657477521,0.153315903548793,13.4576107239616,2.77753014262851e-41,8.6241163188887e-40
"Cd59b",48.8897116364872,2.38049652840541,0.591613999302349,4.02373258782343,5.72829570456275e-05,0.000186654006609213
"Dcdc5",241.472249369997,3.28848389731345,0.241047861381077,13.6424520776587,2.23903316666334e-42,7.28315810143218e-41
"Ano3",155.564279075986,-1.96414619467337,0.332604240441527,-5.90535524161086,3.51887655813269e-09,1.94702748809069e-08
